#,Category ID(Not Change),Product ID(Not Change),Product Code(Not Change),Product Category(Not Change),Product Name(Not Change),Quantity*,Unit price*,Total Price,Brand
66,1,29,PID19120029,Empty Cylinder,45[ TOTAL ],0,2300,,TOTAL
67,4,129,PID19120129,Hosepipe,.5[ RFL ],2,350,,RFL
68,5,130,PID19120130,Regulator,20mm (Normal)[ UNISTAR ],2000,100,,UNISTAR
69,5,131,PID19120131,Regulator,20mm Hihg-pressure[ UNISTAR ],70,100,,UNISTAR
70,5,132,PID19120132,Regulator,22mm (Normal)[ UNISTAR ],6489,120,,UNISTAR
71,5,133,PID19120133,Regulator,22mm High-pressure[ UNISTAR ],1184,200,,UNISTAR
72,5,134,PID19120134,Regulator,Regulator Set[ UNISTAR ],417,200,,UNISTAR
74,1,1,PACID19120001,Package Empty Cylinder,Empty Cylinder 12[ JAMUNA ],1231,500,,JAMUNA
75,2,2,PACID19120001,Package Refill,Refill 12[ JAMUNA ],1231,900,,JAMUNA
76,1,3,PACID19120002,Package Empty Cylinder,Empty Cylinder 5.5[ JAMUNA ],2,300,,JAMUNA
77,2,4,PACID19120002,Package Refill,Refill 5.5[ JAMUNA ],2,360,,JAMUNA
78,1,5,PACID19120003,Package Empty Cylinder,Empty Cylinder 35[ JAMUNA ],36,1500,,JAMUNA
79,2,6,PACID19120003,Package Refill,Refill 35[ JAMUNA ],36,2500,,JAMUNA
80,1,7,PACID19120004,Package Empty Cylinder,Empty Cylinder 45[ JAMUNA ],4,2300,,JAMUNA
81,2,8,PACID19120004,Package Refill,Refill 45[ JAMUNA ],4,3170,,JAMUNA
82,1,9,PACID19120005,Package Empty Cylinder,Empty Cylinder 12[ OMERA ],178,500,,OMERA
83,2,10,PACID19120005,Package Refill,Refill 12[ OMERA ],178,900,,OMERA
84,1,11,PACID19120006,Package Empty Cylinder,Empty Cylinder 5.5[ OMERA ],0,300,,OMERA
85,2,12,PACID19120006,Package Refill,Refill 5.5[ OMERA ],0,360,,OMERA
86,1,13,PACID19120007,Package Empty Cylinder,Empty Cylinder 35[ OMERA ],21,1500,,OMERA
87,2,14,PACID19120007,Package Refill,Refill 35[ OMERA ],21,2500,,OMERA
